Energy (GeV), Cross section (pb)
136, 5.04244e-07
138, 1.4876199999999999e-06
140, 2.5939e-06
142, 3.90189e-06
144, 5.3174e-06
146, 6.9355e-06
148, 8.6221e-06
150, 1.05026e-05
152, 1.24532e-05
154, 1.4526900000000001e-05
156, 1.66337e-05
158, 1.90094e-05
160, 2.1255799999999997e-05
162, 2.37465e-05
164, 2.6319099999999997e-05
166, 2.9027999999999997e-05
168, 3.17122e-05
170, 3.45165e-05
172, 3.70814e-05
174, 3.9975700000000004e-05
176, 4.2857699999999995e-05
178, 4.5076099999999994e-05
180, 4.82161e-05
182, 5.05421e-05
184, 5.30449e-05
186, 5.5702500000000004e-05
188, 5.84194e-05
190, 6.060500000000001e-05
192, 6.25521e-05
194, 6.47565e-05
196, 6.63976e-05
198, 6.891349999999999e-05
200, 7.026789999999999e-05
202, 7.18999e-05
204, 7.346319999999998e-05
206, 7.521900000000001e-05
208, 7.65296e-05
210, 7.79734e-05
212, 7.90682e-05
214, 8.10189e-05
216, 8.15219e-05
218, 8.21373e-05
220, 8.3188e-05
222, 8.38325e-05
224, 8.48225e-05
226, 8.55348e-05
228, 8.593469999999999e-05
230, 8.66055e-05
232, 8.69702e-05
234, 8.632279999999999e-05
236, 8.753970000000001e-05
238, 8.71166e-05
240, 8.75017e-05
242, 8.7998e-05
244, 8.774299999999999e-05
246, 8.808359999999999e-05
248, 8.78065e-05
250, 8.773030000000001e-05
252, 8.74787e-05
254, 8.76762e-05
256, 8.75105e-05
258, 8.645090000000001e-05
260, 8.66187e-05
262, 8.600429999999999e-05
264, 8.57277e-05
266, 8.50977e-05
268, 8.45088e-05
270, 8.40631e-05
272, 8.40323e-05
274, 8.32932e-05
276, 8.26333e-05
278, 8.19006e-05
280, 8.16261e-05
282, 8.030839999999999e-05
284, 8.02187e-05
286, 7.975879999999999e-05
288, 7.84729e-05
290, 7.766190000000001e-05
292, 7.68604e-05
294, 7.58845e-05
296, 7.541000000000001e-05
298, 7.407119999999999e-05
300, 7.39753e-05
302, 7.16517e-05
304, 7.134050000000001e-05
306, 6.955379999999999e-05
308, 6.96601e-05
310, 6.83601e-05
312, 6.69703e-05
314, 6.66563e-05
316, 6.5396e-05
318, 6.45767e-05
320, 6.37723e-05
322, 6.17838e-05
324, 6.08451e-05
326, 5.908739999999999e-05
328, 5.83238e-05
330, 5.69938e-05
332, 5.59238e-05
334, 5.4284200000000005e-05
336, 5.281719999999999e-05
338, 5.1430899999999996e-05
340, 4.95118e-05
342, 4.7806500000000004e-05
344, 4.5781199999999995e-05
346, 4.2726100000000004e-05
348, 3.35406e-05
350, 3.06934e-05
352, 2.97423e-05
354, 2.9033799999999996e-05
356, 2.88019e-05
358, 2.8807800000000002e-05
360, 2.87769e-05
362, 2.9067300000000002e-05
364, 2.9436e-05
366, 2.98988e-05
368, 3.0487700000000003e-05
370, 3.07941e-05
372, 3.1683799999999996e-05
374, 3.19283e-05
376, 3.26346e-05
378, 3.3204199999999996e-05
380, 3.3605899999999996e-05
382, 3.42387e-05
384, 3.4666800000000005e-05
386, 3.52492e-05
388, 3.599390000000001e-05
390, 3.6243e-05
392, 3.6639000000000006e-05
394, 3.73593e-05
396, 3.78761e-05
398, 3.80275e-05
400, 3.83675e-05
402, 3.87287e-05
404, 3.9364500000000006e-05
406, 3.94272e-05
408, 4.00601e-05
410, 4.02151e-05
412, 4.09141e-05
414, 4.10507e-05
416, 4.16042e-05
418, 4.1760599999999995e-05
420, 4.19294e-05
422, 4.2276199999999993e-05
424, 4.25571e-05
426, 4.27715e-05
428, 4.289460000000001e-05
430, 4.31839e-05
432, 4.34319e-05
434, 4.35069e-05
436, 4.37195e-05
438, 4.3834e-05
440, 4.42947e-05
442, 4.3942999999999996e-05
444, 4.4360299999999996e-05
446, 4.4461599999999995e-05
448, 4.450089999999999e-05
450, 4.4759700000000004e-05
452, 4.48938e-05
454, 4.50671e-05
456, 4.4586099999999997e-05
458, 4.49539e-05
460, 4.54182e-05
462, 4.53139e-05
464, 4.47944e-05
466, 4.49978e-05
468, 4.5061699999999996e-05
470, 4.50038e-05
472, 4.52508e-05
474, 4.5061399999999995e-05
476, 4.4980599999999994e-05
478, 4.48469e-05
480, 4.48377e-05
482, 4.53016e-05
484, 4.5036899999999996e-05
486, 4.5035e-05
488, 4.52241e-05
490, 4.49153e-05
492, 4.47416e-05
494, 4.4980899999999995e-05
496, 4.48721e-05
498, 4.46969e-05
500, 4.4687299999999995e-05
